0,1,2,3,4,5,6,7,8,9
Italy,PROPN,nsubj,1,0,5,0,0,,
failed,VERB,ROOT,1,6,12,1,0,,
to,PART,aux,3,13,15,2,0,,
qualify,VERB,xcomp,1,16,23,3,0,,
for,ADP,prep,3,24,27,4,0,,
the,DET,det,10,28,31,5,0,,
2003,NUM,nummod,10,32,36,6,0,,
Women,PROPN,poss,10,37,42,7,0,,
's,PART,case,7,43,45,8,0,,
World,PROPN,compound,10,46,51,9,0,0-1,MISC
Cup,PROPN,pobj,4,52,55,10,0,0-1,MISC
",",PUNCT,punct,10,56,57,11,0,,
which,DET,nsubj,13,58,63,12,0,,
begins,VERB,relcl,10,64,70,13,0,,
on,ADP,prep,13,71,73,14,0,,
Sept.,PROPN,pobj,14,74,79,15,0,,
20,NUM,nummod,15,80,82,16,0,,
with,ADP,prep,13,83,87,17,0,,
doubleheaders,NOUN,pobj,17,88,101,18,0,,
in,ADP,prep,18,102,104,19,0,,
Philadelphia,PROPN,nmod,24,105,117,20,0,0-2,LOC
and,CCONJ,cc,20,118,121,21,0,,
Columbus,PROPN,conj,20,122,130,22,0,,
",",PUNCT,punct,22,131,132,23,0,,
Ohio,PROPN,pobj,19,133,137,24,0,,
.,PUNCT,punct,1,138,139,25,0,,
Mr.,PROPN,compound,1,0,3,0,1,1-1,PER
Klaassen,PROPN,nsubj,2,4,12,1,1,1-1,PER
is,AUX,ROOT,2,13,15,2,1,,
on,ADP,prep,2,16,18,3,1,,
both,CCONJ,preconj,6,19,23,4,1,,
the,DET,det,6,24,27,5,1,,
Chamber,PROPN,poss,10,28,35,6,1,1-2,ORG
of,ADP,prep,6,36,38,7,1,1-2,ORG
Commerce,PROPN,pobj,7,39,47,8,1,1-2,ORG
's,PART,case,6,48,50,9,1,,
board,NOUN,pobj,3,51,56,10,1,,
and,CCONJ,cc,2,57,60,11,1,,
that,DET,conj,2,61,65,12,1,,
of,ADP,prep,12,66,68,13,1,,
its,DET,poss,16,69,72,14,1,,
research,NOUN,compound,16,73,81,15,1,,
arm,NOUN,pobj,13,82,85,16,1,,
",",PUNCT,punct,16,86,87,17,1,,
the,DET,det,21,88,91,18,1,,
National,PROPN,compound,21,92,100,19,1,,
Chamber,PROPN,compound,21,101,108,20,1,,
Foundation,PROPN,appos,16,109,119,21,1,,
.,PUNCT,punct,2,120,121,22,1,,
David,PROPN,compound,1,0,5,0,2,2-1,PER
Chase,PROPN,ROOT,1,6,11,1,2,2-1,PER
",",PUNCT,punct,1,12,13,2,2,,
'',PUNCT,punct,1,14,16,3,2,,
The,DET,det,5,17,20,4,2,,
Sopranos,PROPN,appos,1,21,29,5,2,,
:,PUNCT,punct,5,30,31,6,2,,
Pilot,NOUN,appos,5,32,37,7,2,,
",",PUNCT,punct,7,38,39,8,2,,
'',PUNCT,punct,7,40,42,9,2,,
HBO,PROPN,appos,1,43,46,10,2,2-2,ORG
Over,ADP,advmod,1,0,4,0,3,,
all,DET,advmod,5,5,8,1,3,,
",",PUNCT,punct,5,9,10,2,3,,
