,sent_index,sentence_length,root_word,root_index,entity_1_index,entity_2_index,entity_distance,no_words_before_entity_1,no_words_after_entity_2,entity_1_root_distance,entity_2_root_distance,entity 1 name,entity 2 name,entity_type_1,entity_type_2,entity_pos_1,entity_pos_2,entity_dep_1,entity_dep_2,entity_tag_1,entity_tag_2,shortest_distance,label
0,0.0,20,is,4,2,2,0,1,17,2,-2,Traveling Wilburys Collection,Traveling Wilburys,MISC-MISC-MISC,ORG-ORG,VERB-PROPN-PROPN,VERB-PROPN,compound-compound-nsubj,compound-appos,VBG-NNP-NNP,VBG-NNPS,0,1
1,4.0,30,completed,6,13,21,8,12,8,-7,15,Jeff Lynne,Wilburys,PER-PER,ORG,PROPN-PROPN,PROPN,compound-pobj,dobj,NNP-NNP,NNPS,7,1
2,4.0,30,completed,6,26,29,3,25,0,-20,23,Harrison,Dhani,PER,PER,PROPN,PROPN,poss,appos,NNP,NNP,4,1
3,4.0,30,completed,6,21,23,2,20,6,-15,17,Wilburys,1988,ORG,TIME,PROPN,NUM,dobj,pobj,NNPS,CD,3,1
0,1.0,24,was,4,11,22,11,10,1,-7,18,Battle Shinhwa,Good Entertainment,MISC-MISC,ORG-ORG,PROPN-PROPN,PROPN-PROPN,compound-pobj,compound-pobj,NNP-NNP,NNP-NNP,8,1
1,2.0,58,going,5,35,37,2,34,20,-30,32,Spica,Yang Jiwon,ORG,PER-PER,PROPN,PROPN-PROPN,compound,compound-appos,NNP,NNP-NNP,1,1
2,3.0,30,discovered,3,1,6,5,0,23,2,3,Hyoseong,TS Entertainment,PER,ORG-ORG,PROPN,PROPN-PROPN,nsubjpass,compound-pobj,NNP,NNP-NNP,3,1
3,4.0,23,debuted,4,7,22,15,6,0,-3,18,Song Jieun,Secret,PER-PER,ORG,PROPN-PROPN,PROPN,compound-pobj,appos,NNP-NNP,NNP,3,1
4,4.0,23,debuted,4,10,22,12,9,0,-6,18,Han Sunhwa,Secret,PER-PER,ORG,PROPN-PROPN,PROPN,compound-conj,appos,NNP-NNP,NNP,4,1
5,4.0,23,debuted,4,13,22,9,12,0,-9,18,Jung Hana,Secret,PER-PER,ORG,PROPN-PROPN,PROPN,compound-conj,appos,NNP-NNP,NNP,5,1
0,0.0,24,was,3,2,15,13,1,8,1,12,Rankenian Club,1716,ORG-ORG,TIME,PROPN-PROPN,NUM,compound-nsubj,pobj,NNP-NNP,CD,6,1
1,3.0,118,were,2,34,37,3,33,80,-32,35,John Stevenson,1695,PER-PER,TIME,PROPN-PROPN,NUM,compound-appos,appos,NNP-NNP,CD,3,1
2,3.0,118,were,2,64,67,3,63,50,-62,65,Marischal College,Aberdeen,ORG-ORG,LOC,PROPN-PROPN,PROPN,compound-pobj,appos,NNP-NNP,NNP,4,1
3,3.0,118,were,2,69,72,3,68,45,-67,70,Robert Wallace,1697,PER-PER,TIME,PROPN-PROPN,NUM,compound-conj,npadvmod,NNP-NNP,CD,3,1
4,3.0,118,were,2,82,85,3,81,32,-80,83,William Wishart,1691,PER-PER,TIME,PROPN-PROPN,NUM,compound-conj,npadvmod,NNP-NNP,CD,3,1
5,3.0,118,were,2,101,106,5,100,11,-99,104,Colin MacLaurin,1746,PER-PER,TIME,PROPN-PROPN,NUM,compound-conj,prep,NNP-NNP,CD,5,1
6,3.0,118,were,2,101,10,-91,100,107,-99,8,Colin MacLaurin,Scottish,PER-PER,LOC,PROPN-PROPN,ADJ,compound-conj,amod,NNP-NNP,JJ,10,1
0,0.0,13,is,2,1,10,9,0,2,1,8,Groat Road,Alberta,LOC-LOC,LOC,PROPN-PROPN,PROPN,compound-nsubj,npadvmod,NNP-NNP,NNP,6,1
1,0.0,13,is,2,1,12,11,0,0,1,10,Groat Road,Canada,LOC-LOC,LOC,PROPN-PROPN,PROPN,compound-nsubj,appos,NNP-NNP,NNP,2,1
2,0.0,13,is,2,8,10,2,7,2,-6,8,Edmonton,Alberta,LOC,LOC,PROPN,PROPN,pobj,npadvmod,NNP,NNP,3,1
3,0.0,13,is,2,8,12,4,7,0,-6,10,Edmonton,Canada,LOC,LOC,PROPN,PROPN,pobj,appos,NNP,NNP,5,1
4,0.0,13,is,2,10,12,2,9,0,-8,10,Alberta,Canada,LOC,LOC,PROPN,PROPN,npadvmod,appos,NNP,NNP,6,1
0,0.0,45,was,12,1,5,4,0,39,11,-7,Malcolm Mitchell Young,6 January 1953,PER-PER-PER,TIME-TIME-TIME,PROPN-PROPN-PROPN,NUM-PROPN-NUM,compound-compound-nsubj,nummod-appos-nummod,NNP-NNP-NNP,CD-NNP-CD,2,1
1,0.0,45,was,12,1,15,14,0,29,11,3,Malcolm Mitchell Young,Scottish,PER-PER-PER,LOC,PROPN-PROPN-PROPN,ADJ,compound-compound-nsubj,amod,NNP-NNP-NNP,JJ,5,1
2,2.0,22,inducted,10,1,14,13,0,7,9,4,Young,Rock and Roll Hall of Fame,PER,MISC-MISC-MISC-MISC-MISC-MISC,PROPN,PROPN-CCONJ-PROPN-PROPN-ADP-PROPN,nsubjpass,nmod-cc-conj-pobj-prep-pobj,NNP,NNP-CC-NNP-NNP-IN-NNP,6,1
3,3.0,27,described,15,14,5,-9,13,21,1,-10,Malcolm,Angus,PER,PER,PROPN,PROPN,nsubjpass,appos,NNP,NNP,2,1
0,0.0,22,is,3,1,6,5,0,15,2,3,Gustavo Bolívar Moreno,Colombian,PER-PER-PER,LOC,PROPN-PROPN-PROPN,ADJ,compound-compound-nsubj,amod,NNP-NNP-NNP,JJ,3,1
0,0.0,36,is,4,7,13,6,6,22,-3,9,Canadian,Prince Edward Island,LOC,LOC-LOC-LOC,ADJ,PROPN-PROPN-PROPN,amod,compound-compound-appos,JJ,NNP-NNP-NNP,5,1
1,0.0,36,is,4,11,13,2,10,22,-7,9,Charlottetown,Prince Edward Island,LOC,LOC-LOC-LOC,PROPN,PROPN-PROPN-PROPN,pobj,compound-compound-appos,NNP,NNP-NNP-NNP,3,1
0,3.0,39,crashed,19,11,16,5,10,22,8,-3,Lokomotiv Yaroslavl,Kontinental Hockey League,ORG-ORG,ORG-ORG-ORG,PROPN-PROPN,PROPN-PROPN-PROPN,compound-compound,compound-compound-pobj,NNP-NNP,NNP-NNP-NNP,4,1
1,3.0,39,crashed,19,11,24,13,10,14,8,5,Lokomotiv Yaroslavl,Russia,ORG-ORG,LOC,PROPN-PROPN,PROPN,compound-compound,appos,NNP-NNP,NNP,5,1
