,sent_index,sentence_length,root_word,root_index,entity_1_index,entity_2_index,entity_distance,no_words_before_entity_1,no_words_after_entity_2,entity_1_root_distance,entity_2_root_distance,entity 1 name,entity 2 name,entity_type_1,entity_type_2,entity_pos_1,entity_pos_2,entity_dep_1,entity_dep_2,entity_tag_1,entity_tag_2,shortest_distance,label
0,0.0,37,attended,6,17,26,9,16,10,-11,20,Isle of Wight,Ryde School with Upper Chine,--,org-org-org-org-org,PROPN-ADP-PROPN,PROPN-PROPN-ADP-PROPN-PROPN,pobj-prep-pobj,compound-oprd-prep-compound-pobj,NNP-IN-NNP,NNP-NNP-IN-NNP-NNP,4,1
1,1.0,26,Supported,0,7,24,17,6,1,-7,24,Mars,Maryland,org,,PROPN,PROPN,nsubj,compound,NNP,NNP,5,1
2,2.0,24,is,11,2,19,17,1,4,9,8,California,substance abuse,,org-org,PROPN,NOUN-NOUN,compound,compound-compound,NNP,NN-NN,7,1
3,3.0,15,are,5,3,8,5,2,6,2,3,Aetna,Connecticut,org,,PROPN,PROPN,poss,pobj,NNP,NNP,4,1
4,2554.0,38,Wallis,1,20,29,9,19,8,-19,28,Aetna,Connecticut,org,,PROPN,PROPN,compound,pobj,NNP,NNP,-1,1
5,4.0,27,said,5,1,4,3,0,22,4,-1,Singapore Airlines,SIA,org-org,,PROPN-PROPN,PROPN,compound-nsubj,appos,NNP-NNP,NNP,2,1
6,20.0,27,said,5,1,4,3,0,22,4,-1,Singapore Airlines,SIA,org-org,,PROPN-PROPN,PROPN,compound-nsubj,appos,NNP-NNP,NNP,2,1
7,5.0,12,attended,1,3,11,8,2,0,-2,10,St. Benet Biscop Catholic High School,Northumberland,org-org-org-org-org-org,,PROPN-PROPN-PROPN-PROPN-PROPN-PROPN,PROPN,compound-compound-compound-compound-compound-dobj,pobj,NNP-NNP-NNP-NNP-NNP-NNP,NNP,3,1
8,6.0,17,is,3,2,16,14,1,0,1,13,Sacramento Heatwave,California,org-org,,PROPN-PROPN,PROPN,compound-nsubj,pobj,NNP-NNP,NNP,2,1
9,7.0,34,ranked,9,3,21,18,2,12,6,12,Oklahoma,QuikTrip,,org,PROPN,PROPN,nmod,dobj,NNP,NNP,9,1
10,8.0,13,is,4,1,12,11,0,0,3,8,DigiPen Institute of Technology,Washington,org-org-org-org,,PROPN-PROPN-ADP-PROPN,PROPN,compound-nsubj-prep-pobj,pobj,NNP-NNP-IN-NNP,NNP,6,1
11,9.0,31,is,1,1,8,7,0,22,0,7,Viva,York Region,org,-,PROPN,PROPN-PROPN,nsubj,compound-compound,NNP,NNP-NNP,4,1
12,10.0,50,is,3,13,29,16,12,20,-10,26,Georgia,Army National Guard,,org-org-org,PROPN,PROPN-PROPN-PROPN,pobj,compound-compound-poss,NNP,NNP-NNP-NNP,9,1
13,11.0,47,used,3,1,5,4,0,41,2,2,THF Realty,Missouri,org-org,,PROPN-PROPN,PROPN,compound-compound,poss,NNP-NNP,NNP,5,1
