,sent_index,dep,sentence_length,root_index,root_word,entity_1_index,entity_2_index,entity_distance,no_words_before_entity_1,no_words_after_entity_2,entity_1_root_distance,entity_2_root_distance,entity 1 name,entity 2 name,entity_type_1,entity_type_2,entity_pos_1,entity_pos_2,entity_dep_1,entity_dep_2,entity_tag_1,entity_tag_2,shortest_distance,shortest_path,rel type,rel subtype,entity 1 ID,entity 2 ID,entity 1 mention ID,entity 2 mention ID,entity 1 type,entity 2 type,same_sent,same_sent.1,distance,pos_pattern,shortest_dep_path,span,label
0,0.0,"['compound', 'compound', 'nsubj', 'prep', 'compound', 'compound', 'compound', 'pobj', '', 'det', 'compound', 'nsubj', 'punct', 'compound', 'appos', 'punct', 'ROOT', 'punct', '', 'det', 'amod', 'nsubj', 'aux', 'ccomp', 'mark', 'det', 'compound', 'nsubj', 'aux', 'ccomp', 'amod', 'dobj', 'prep', 'det', 'amod', 'pobj', 'prep', 'advmod', 'advmod', 'nummod', 'pobj', 'punct', 'cc', 'mark', 'nsubj', 'aux', 'conj', 'amod', 'dobj', 'advmod', 'advmod', 'advmod', 'punct']",53,16,said,6,45,39,5,7,10,29,chemical weapons,Daesh,Weapon,Organisation,ADJ-NOUN,PROPN,amod-dobj,nsubj,JJ-NNS,NNP,8,"[6, 7, 3, 2, 16, 23, 29, 46, 45]",BelongsTo,BelongsTo,189862CF0AC0BBFA012D27D85CE90BE7-2-11-27-Weapon,189862CF0AC0BBFA012D27D85CE90BE7-2-31-36-Organisation,189862CF0AC0BBFA012D27D85CE90BE7-2-11-27-Weapon,189862CF0AC0BBFA012D27D85CE90BE7-2-31-36-Organisation,Weapon,Organisation,True,True,2.0,ADP,4.0,chemical weapons by Daesh,1
1,2.0,"['det', 'nsubj', 'prep', 'amod', 'pobj', 'prep', 'pobj', 'prep', 'pobj', 'ROOT', 'poss', 'amod', 'dobj', 'prep', 'amod', 'pobj', 'punct', 'cc', 'amod', 'conj', 'cc', 'conj', 'punct']",23,9,shows,4,7,3,3,15,5,-2,chemical weapons,Daesh,Weapon,Organisation,ADJ-NOUN,PROPN,amod-pobj,pobj,JJ-NNS,NNP,3,"[4, 2, 1, 7]",BelongsTo,BelongsTo,189862CF0AC0BBFA012D27D85CE90BE7-2-11-27-Weapon,189862CF0AC0BBFA012D27D85CE90BE7-2-31-36-Organisation,189862CF0AC0BBFA012D27D85CE90BE7-2-11-27-Weapon,189862CF0AC0BBFA012D27D85CE90BE7-2-31-36-Organisation,Weapon,Organisation,True,True,2.0,ADP,4.0,chemical weapons by Daesh,1
2,0.0,"['compound', 'compound', 'nsubj', 'prep', 'compound', 'compound', 'compound', 'pobj', '', 'det', 'compound', 'nsubj', 'punct', 'compound', 'appos', 'punct', 'ROOT', 'punct', '', 'det', 'amod', 'nsubj', 'aux', 'ccomp', 'mark', 'det', 'compound', 'nsubj', 'aux', 'ccomp', 'amod', 'dobj', 'prep', 'det', 'amod', 'pobj', 'prep', 'advmod', 'advmod', 'nummod', 'pobj', 'punct', 'cc', 'mark', 'nsubj', 'aux', 'conj', 'amod', 'dobj', 'advmod', 'advmod', 'advmod', 'punct']",53,16,said,10,14,4,9,38,6,-2,The Foreign Secretary,Boris Johnson,Person,Person,DET-PROPN-PROPN,PROPN-PROPN,det-compound-nsubj,compound-appos,DT-NNP-NNP,NNP-NNP,2,"[10, 11, 14]",IsSynonymOf,IsSynonymOf,189862CF0AC0BBFA012D27D85CE90BE7-0-59-80-Person,189862CF0AC0BBFA012D27D85CE90BE7-0-82-95-Person,189862CF0AC0BBFA012D27D85CE90BE7-0-59-80-Person,189862CF0AC0BBFA012D27D85CE90BE7-0-82-95-Person,Person,Person,True,True,1.0,,1.0,"The Foreign Secretary , Boris Johnson",1
3,2.0,"['det', 'nsubj', 'prep', 'amod', 'pobj', 'prep', 'pobj', 'prep', 'pobj', 'ROOT', 'poss', 'amod', 'dobj', 'prep', 'amod', 'pobj', 'punct', 'cc', 'amod', 'conj', 'cc', 'conj', 'punct']",23,9,shows,4,9,5,3,13,5,0,chemical weapons,Marea,Weapon,Location,ADJ-NOUN,PROPN,amod-pobj,pobj,JJ-NNS,NNP,3,"[4, 2, 1, 9]",CoLocated,CoLocated,189862CF0AC0BBFA012D27D85CE90BE7-2-11-27-Weapon,189862CF0AC0BBFA012D27D85CE90BE7-2-40-45-Location,189862CF0AC0BBFA012D27D85CE90BE7-2-11-27-Weapon,189862CF0AC0BBFA012D27D85CE90BE7-2-40-45-Location,Weapon,Location,True,True,4.0,ADP-PROPN-ADP,6.0,chemical weapons by Daesh in Marea,1
4,2.0,"['det', 'nsubj', 'prep', 'amod', 'pobj', 'prep', 'pobj', 'prep', 'pobj', 'ROOT', 'poss', 'amod', 'dobj', 'prep', 'amod', 'pobj', 'punct', 'cc', 'amod', 'conj', 'cc', 'conj', 'punct']",23,9,shows,7,9,2,6,13,2,0,Daesh,Marea,Organisation,Location,PROPN,PROPN,pobj,pobj,NNP,NNP,2,"[7, 1, 9]",CoLocated,CoLocated,189862CF0AC0BBFA012D27D85CE90BE7-2-31-36-Organisation,189862CF0AC0BBFA012D27D85CE90BE7-2-40-45-Location,189862CF0AC0BBFA012D27D85CE90BE7-2-31-36-Organisation,189862CF0AC0BBFA012D27D85CE90BE7-2-40-45-Location,Organisation,Location,True,True,2.0,ADP,2.0,Daesh in Marea,1
5,6.0,"['det', 'nsubj', 'cc', 'poss', 'conj', 'punct', 'advmod', 'appos', 'punct', 'aux', 'ROOT', 'det', 'amod', 'dobj', 'acl', 'advmod', 'prep', 'pobj', 'cc', 'amod', 'conj', 'cc', 'conj', 'prep', 'pobj', 'punct', 'advcl', 'amod', 'amod', 'dobj', 'punct']",31,10,inflicting,20,25,5,19,5,-10,15,other towns and areas,Syria,Location,Location,ADJ-NOUN-CCONJ-NOUN,PROPN,amod-conj-cc-conj,pobj,JJ-NNS-CC-NNS,NNP,6,"[20, 17, 16, 14, 13, 10, 25]",CoLocated,CoLocated,189862CF0AC0BBFA012D27D85CE90BE7-6-104-125-Location,189862CF0AC0BBFA012D27D85CE90BE7-6-129-134-Location,189862CF0AC0BBFA012D27D85CE90BE7-6-104-125-Location,189862CF0AC0BBFA012D27D85CE90BE7-6-129-134-Location,Location,Location,True,True,2.0,ADP,2.0,other towns and areas in Syria,1
6,6.0,"['det', 'nsubj', 'cc', 'poss', 'conj', 'punct', 'advmod', 'appos', 'punct', 'aux', 'ROOT', 'det', 'amod', 'dobj', 'acl', 'advmod', 'prep', 'pobj', 'cc', 'amod', 'conj', 'cc', 'conj', 'prep', 'pobj', 'punct', 'advcl', 'amod', 'amod', 'dobj', 'punct']",31,10,inflicting,14,18,4,13,12,-4,8,bombardment,Aleppo,Weapon,Location,NOUN,PROPN,dobj,pobj,NN,NNP,3,"[14, 16, 17, 18]",CoLocated,CoLocated,189862CF0AC0BBFA012D27D85CE90BE7-6-69-80-Weapon,189862CF0AC0BBFA012D27D85CE90BE7-6-93-99-Location,189862CF0AC0BBFA012D27D85CE90BE7-6-69-80-Weapon,189862CF0AC0BBFA012D27D85CE90BE7-6-93-99-Location,Weapon,Location,True,True,4.0,VERB-ADV-ADP,3.0,bombardment seen yet on Aleppo,1
0,3.0,"['det', 'nsubjpass', 'prep', 'det', 'amod', 'pobj', 'auxpass', 'ROOT', 'prep', 'pobj', 'prep', 'poss', 'compound', 'pobj', 'punct', 'prep', 'prep', 'compound', 'punct', 'pobj', 'prep', 'pobj', 'punct', 'compound', 'compound', 'conj', 'punct', 'compound', 'compound', 'punct', 'compound', 'conj', 'punct', 'compound', 'punct', 'compound', 'conj', 'punct', 'cc', 'compound', 'punct', 'compound', 'conj', 'punct', '']",45,7,announced,24,12,-12,23,32,-17,5,Monotheism Supporters Brigades,its,Organisation,Organisation,PROPN-PROPN-PROPN,DET,compound-compound-conj,poss,NNP-NNP-NNPS,PRP$,7,"[24, 25, 7, 8, 9, 10, 13, 12]",BelongsTo,BelongsTo,774684266A20284937043C2BC997EC3B-3-109-139-Organisation,774684266A20284937043C2BC997EC3B-3-56-59-Organisation,774684266A20284937043C2BC997EC3B-3-109-139-Organisation,774684266A20284937043C2BC997EC3B-3-56-59-Organisation,Organisation,Organisation,True,True,6.0,NOUN-NOUN-ADP-ADP-PROPN,7.0,"its constituent groups , along with al - Qaeda in Iraq , Monotheism Supporters Brigades",1
1,5.0,"['nsubj', 'ROOT', 'cc', 'conj', 'nummod', 'dobj', 'punct', 'prep', 'nummod', 'pobj', 'nsubjpass', 'auxpass', 'relcl', 'punct', '']",15,1,kidnapped,1,9,8,0,5,0,8,They,one hostage,Organisation,Person,PRON,NUM-NOUN,nsubj,nummod-pobj,PRP,CD-NN,4,"[1, 3, 5, 7, 9]",FightingAgainst,FightingAgainst,774684266A20284937043C2BC997EC3B-5-0-4-Organisation,774684266A20284937043C2BC997EC3B-5-47-58-Person,774684266A20284937043C2BC997EC3B-5-0-4-Organisation,774684266A20284937043C2BC997EC3B-5-47-58-Person,Organisation,Person,True,True,,,,"They kidnapped and killed 11 people , including one hostage",1
0,0.0,"['compound', 'compound', 'compound', 'compound', 'nsubj', 'punct', 'appos', 'punct', 'compound', 'compound', 'appos', 'advmod', 'ROOT', 'prep', 'compound', 'compound', 'nmod', 'amod', 'pobj', 'cc', 'conj', 'det', 'dobj', 'prep', 'det', 'compound', 'pobj', 'punct', 'det', 'amod', 'conj', 'punct', 'cc', 'amod', 'conj', 'punct', '']",37,12,met,1,1,0,0,35,11,-11,U.S. Army General Joseph Votel,U.S. Central Command,Person,Organisation,PROPN-PROPN-PROPN-PROPN-PROPN,PROPN-PROPN-PROPN,compound-compound-compound-compound-nsubj,compound-compound-appos,NNP-NNP-NNP-NNP-NNP,NNP-NNP-NNP,0,[1],InChargeOf,InChargeOf,F7893F2F4E38C8E00C7D22E22E100428-0-0-30-Person,F7893F2F4E38C8E00C7D22E22E100428-0-43-63-Organisation,F7893F2F4E38C8E00C7D22E22E100428-0-0-30-Person,F7893F2F4E38C8E00C7D22E22E100428-0-43-63-Organisation,Person,Organisation,True,True,2.0,NOUN,1.0,"U.S. Army General Joseph Votel , commander , U.S. Central Command",1
