,sent_index,sentence_length,root_word,root_index,entity_1_index,entity_2_index,entity_distance,no_words_before_entity_1,no_words_after_entity_2,entity_1_root_distance,entity_2_root_distance,entity 1 name,entity 2 name,entity_type_1,entity_type_2,entity_pos_1,entity_pos_2,entity_dep_1,entity_dep_2,entity_tag_1,entity_tag_2,shortest_distance,label
0,8.0,11,freed,6,5,4,-1,4,6,1,-2,Laura Silsby,missionary,PERSON-PERSON,TITLE,PROPN-PROPN,NOUN,compound-nsubj,compound,NNP-NNP,NN,1,1
1,10146.0,47,come,21,7,18,11,6,28,14,-3,Laura Silsby,missionary,PERSON-PERSON,TITLE,PROPN-PROPN,NOUN,compound-appos,pobj,NNP-NNP,NN,3,1
2,11357.0,25,convicted,4,8,7,-1,7,17,-4,3,Laura Silsby,missionary,PERSON-PERSON,TITLE,PROPN-PROPN,NOUN,compound-dobj,compound,NNP-NNP,NN,1,1
3,11.0,34,shares,1,22,16,-6,21,17,-21,15,her,journalist,PERSON,TITLE,DET,NOUN,poss,conj,PRP$,NN,8,1
4,13.0,35,said,21,1,17,16,0,17,20,-4,Ramon,captain,PERSON,TITLE,PROPN,NOUN,nsubjpass,pobj,NNP,NN,4,1
5,16.0,34,is,13,13,5,-8,12,28,0,-8,NRA,Cain,ORGANIZATION,PERSON,PROPN,PROPN,pobj,poss,NNP,NNP,5,1
6,21.0,40,said,38,9,6,-3,8,33,29,-32,Countrywide Financial,US,ORGANIZATION-ORGANIZATION,COUNTRY,PROPN-PROPN,PROPN,compound-pobj,compound,NNP-NNP,NNP,2,1
7,13297.0,40,said,38,9,6,-3,8,33,29,-32,Countrywide Financial,US,ORGANIZATION-ORGANIZATION,COUNTRY,PROPN-PROPN,PROPN,compound-pobj,compound,NNP-NNP,NNP,2,1
8,23.0,38,said,21,31,23,-8,30,14,-10,2,Corporate Library,Paul Hodgson,ORGANIZATION-ORGANIZATION,PERSON-PERSON,PROPN-PROPN,PROPN-PROPN,compound-pobj,compound-nsubj,NNP-NNP,NNP-NNP,5,1
9,344.0,30,said,18,8,1,-7,7,28,10,-17,Corporate Library,Paul Hodgson,ORGANIZATION-ORGANIZATION,PERSON-PERSON,PROPN-PROPN,PROPN-PROPN,compound-pobj,compound-nsubj,NNP-NNP,NNP-NNP,3,1
10,1424.0,40,said,27,38,29,-9,37,10,-11,2,Corporate Library,Paul Hodgson,ORGANIZATION-ORGANIZATION,PERSON-PERSON,PROPN-PROPN,PROPN-PROPN,compound-pobj,compound-nsubj,NNP-NNP,NNP-NNP,5,1
11,2331.0,39,said,21,32,23,-9,31,15,-11,2,Corporate Library,Paul Hodgson,ORGANIZATION-ORGANIZATION,PERSON-PERSON,PROPN-PROPN,PROPN-PROPN,compound-pobj,compound-nsubj,NNP-NNP,NNP-NNP,5,1
12,3199.0,50,said,27,37,29,-8,36,20,-10,2,Corporate Library,Paul Hodgson,ORGANIZATION-ORGANIZATION,PERSON-PERSON,PROPN-PROPN,PROPN-PROPN,compound-pobj,compound-nsubj,NNP-NNP,NNP-NNP,5,1
13,3394.0,39,said,16,26,18,-8,25,20,-10,2,Corporate Library,Paul Hodgson,ORGANIZATION-ORGANIZATION,PERSON-PERSON,PROPN-PROPN,PROPN-PROPN,compound-pobj,compound-nsubj,NNP-NNP,NNP-NNP,5,1
